ind_Latn,sun_Latn
"Walaupun begitu, Gunung Manglayang tetap menawarkan pesona alamnya tersendiri.","Sanajan kitu, Gunung Manglayang nawarkeun pesona alam sorangan."
"Gunung ini memiliki cukup banyak jalur pendakian, antara lain; melalui Bumi Perkemahan atau Wanawisata Situs Batu Kuda (Kabupaten Bandung), Palintang (Ujungberung, Kabupaten Bandung), dan Barubereum.","gunung ieu rada loba jalur pendakian, antara séjén; ngaliwatan bumi perkémahan atanapi Wanawisata Libur Batu Kuda ( Kab Bandung ), Palintang ( Ujungberung , Kabupatén Bandung ), sarta Barubereum."
"Jalur pendakian gunung ini tidak dilengkapi dengan pos/shelter karena jarak dan waktu tempuh yang cukup singkat, 2 jam jalan normal.","jalur pendakian henteu dilengkepan pos / panyumputan kusabab jarak jeung waktos perjalanan cukup pondok, 2 jam di jalan normal."
Untuk lokasi membangun tenda hanya bisa dilakukan di Puncak Bayangan dan Puncak Manglayang.,Pikeun lokasi pikeun ngawangun tenda ngan bisa dipigawé dina kalangkang na nyorot Manglayang Puncak.
"Jalur yang jelas ini akan berpisah di persimpangan, trek vertikal ke kiri adalah arah menuju Puncak Bayangan dan trek landai ke kanan adalah menuju Puncak Manglayang.","A jalur jelas bakal dibeulah di simpang teh, lagu nangtung ka kénca téh jalan ka puncak bayangan ka lagu katuhu nyaeta kana gempungan Manglayang."
"Untuk membangun tenda sangat direkomendasikan di Puncak Bayangan, meskipun tempatnya tidak luas hanya berkapasitas 4-5 tenda, namun pemandangannya sangat terbuka, serupa seperti berada di Puncak Gunung Cikuray.","Ngawangun tenda ieu kacida dianjurkeun dina Puncak bayangan, sanajan tempat nu teu kapasitas tenda lega nyaeta ukur 4-5, tapi bentang teh pisan muka, teuing kawas keur di gempungan di Gunung Cikuray ."
"Turun dari gunung ini juga tidak bisa dibilang mudah, jalur yang kecil dan licin sangat memperlambat mobilitas.","Turun ti gunung, ieu téh teu persis gampang, leutik tur jalur leueur pisan."
"Satu hal yang penting dari gunung ini adalah ketika malam hari yang cerah, karena tidak begitu tinggi lampu-lampu kota Bandung terlihat begitu jelas dari Puncak Bayangan.","Hiji hal penting gunung ieu téh poé cerah nalika peuting, lantaran teu jadi luhur kotana lampu Bandung ditempo sahingga jelas ti Puncak bayangan."
Sedangkan di Puncak Manglayang tidak dapat melihat apapun selain rimbunnya hutan dan 1 kuburan.,Bari di puncak nu Manglayang teu bisa ningali nanaon lian ti leuweung subur tur hiji makam.
"Ketika gambar bitmap RGB smiley pada kiri atas diperbesar, tampak setiap kotak mewakili sebuah piksel.","Lamun gambar bitmap anu RGB smiley di kénca luhur digedéan, katinggal unggal kotak ngagambarkeun hiji piksel."
"Dalam grafik komputer, gambar bitmap (atau gambar raster) adalah sebuah struktur data yang mewakili susunan piksel warna yang ditampilkan pada layar monitor, kertas atau media tampilan lainnya.","Dina grafik komputer , gambar bitmap (atawa gambar raster) mangrupakeun struktur data anu ngawakilan susunan piksel warna nu dipintonkeun dina layar monitor , kertas atawa media tampilan lianna."
Secara teknis gambar bitmap digambarkan dengan lebar dan tinggi dalam piksel dan dalam angka bit per piksel.,Téhnisna gambar bitmap digambarkeun ku lebar tur jangkungna dina piksel sarta jumlah bit per piksel.
"Beberapa format gambar bitmap yang sering dijumpai: GIF, JPEG, BMP dan PNG.","Sababaraha format bitmap gambar anu mindeng kapanggih: GIF , JPEG , BMP jeung PNG ."
"Kebanyakan komputer modern memiliki display bitmap, dimana setiap on-screen pixel secara langsung berhubungan ke bits dalam memori. Melalui scanning pixels yang simple, layar peranti di refresh dan mewarnai pixels menurut set bits tersendiri.","Seseeurna komputer modern boga tampilan bitmap, dimana tiap piksel nu aya dina layar téh langsung patali jeung bit dina mémori. Ngaliwatan scanning piksel anu sederhana, layar panganteur di segarkeun jeung ngawarnaan piksel nurutkeun set bit eta."
"Procedure refresh, mementingkan kecepatan kritikal, sering di implementasi di sirkuit dedikasi, yang juga sering merupakan bagian dari grafik prossesing unit.","Prosedur segarkeun, mentingkeun kagancangan kritis, sering di aplikasikeun dina sirkuit kumawula, nu oge sering bagian tina Unit pengolah grafik."
"Display dengan grafik komputer raster di temukan pada 1960an oleh A. Michael Noll di Bell Labs, tetapi paten hak applikasi pada 5 February 1970 diacuhkan di Supreme Court pada 1977 karena issue mengenai patensasi software komputer.","Tampilan sareng grafik komputer raster anu kapanggih dina taun 1960-an ku A. Michael Noll di Bell Labs, [kadua] tapi hak paten aplikasi di 5 Pébruari 1970 dipaliré di Mahkamah Agung taun 1977 alatan isu ngeunaan patensasi software komputer."
"Kebanyakan format gambar raster atau variasi kompression yang tersimpan sebagai gambar komputer, seperti GIF, JPEG, dan PNG, sangat popular di World Wide Web.","Seseeurna format gambar raster atawa pareasi kompresi nu disimpen salaku gambar komputer, kayaning GIF, JPEG, sarta PNG, kawentar dina World Wide Web."
Tiga dimensional voxel grafik raster di gunakan dalam video games dan juga di imaging medical seperti MRI scanners.,Tilu dimensional voxel grafik raster anu digunakeun dina kaulinan video sarta ogé dina Imaging médical kayaning MRI scanner.
Program-program GIS biasanya menggunakan raster untuk mengkode data geografis di dalam pixel serta lokasi pixel.,Program-program GIS biasana ngagunakeun raster kanggo ngakode data geografis dina piksel sarta lokasi piksel.
Gambar bitmap adalah gambar yang terikat resolusi karena mengandung jumlah piksel yang tetap.,Gambar bitmap mangrupa gambar nu ka iket resolusi ku sabab ngandung jumlah piksel tetep.
"Gambar dengan format ini akan mengalami penurunan kualitas bila diperbesar dengan jumlah piksel yang melebihi jumlah piksel aslinya, karena komputer harus mengisi informasi yang hilang.[butuh rujukan]","Gambar kalawan format ieu bakal ngalaman turunna kualitas lamun diageungan ku Jumlah piksel anu ngaleuwihan jumlah piksel aslina, sabab komputer kudu eusian informasi nu leungit."
"Gambar bitmap cocok digunakan untuk gambar fotorealistik, karena gambar dengan format ini mengandung variasi warna yang kompleks, dan dapat menunjukkan gradasi warna dengan baik.[butuh rujukan] Gambar bitmap dapat diambil menggunakan kamera digital dan perangkat berbasis bitmap lainnya. Besar resolusi gambar bitmap ditentukan oleh resolusi dari perangkat yang mengambil gambar serta kualitas sumber data yang diambil.","Gambar Bitmap luyu digunakeun pikeun gambar poto realistis, sabab gambar kalawan format ieu ngandung pareasi warna kompleks, sarta bisa némbongkeun gradasi warna nu alus. Gambar Bitmap bisa dicokot ngagunakeun kaméra digital jeung alat basis bitmap lianna. gedena resolusi gambar bitmap ditangtukeun ku resolusi hiji alat anu nyokot gambar sakumaha ogé kualitas sumber data nu dicokot."
"Gambar raster merupakan resolusi dependan, yang berarti mereka tidak dapat menaikkan skala gambar tanpa mengurangi kualitas gambar.","Gambar raster mangrupakeun resolusi dependan, nu hartina moal bisa naekkeun skala gambar bari teu ngurangan kualitas gambar."
"Hal ini berbeda dengan kemampuan grafik vector, yang dapat dengan mudah menaikkan skala gambar mereka mengikuti kemampuan peranti yang merender grafik tersebut. Gambar raster biasa digunakan untuk fotografi dan imej realistik foto, sedangkan grafik vector sering di gunakan untuk typeset atau design grafis. Layar modern komputer biasanya memiliki display 72 sampai 130 pixels per inch (PPI), dan beberapa modern printer bisa mengatasi 2400 dots per inch (DPI) atau lebih; menentukan gambar resolusi yang paling pantas untuk resolusi printer biasanya memiliki kesulitan tersendiri, karena hasil print biasa memiliki level detail yang lebih tinggi daripada apa yang dilihat oleh pengguna di layer monitor.","Ieu béda ti kamampuhan grafik vektor nu bisa kalayan gampang naekkeun skala gambar kalawan kamampuan panganteur nu merender grafik eta. gambar Raster biasa dipaké pikeun fotografi tur poto Gambar realistis, bari grafik vektor mindeng dipaké pikeun typeset atawa desain grafis. tampilan komputer layar modern ilaharna boga tampilan 72 ka 130 piksel per inci (PPI), sarta sababaraha printer modern bisa ngunggulan 2400 titik-titik per inci (DPI) atawa leuwih; nangtukeun resolusi gambar nu luyu pikeun resolusi printer ilaharna boga kasusah sorangan, sabab hasil print téh biasana gaduh tingkat jéntré nu leuwih luhur tibatan naon anu katempo ku pamaké dina layar monitor."
"Khususnya, proses print 4 warna (CMYK) berfungsi sangat baik untuk resolusi 150 sampai 300 PPI.","Khususna dina sababaraha hal, proses warna print 4 (CMYK) gawéna kacida alusna pikeun resolusi 150 nepi ka 300 PPI."
"Dalam komputer grafik, gambar raster adalah struktur data dot matrix, yang mewakili kotak grid pixel pada umumnya, atau warna poin, yang dapat di lihat via monitor, kertas, atau media lainnya.","Dina grafik komputer, gambar raster nyaéta struktur data dot matrix, anu ngawakilan kotak grid pixel sacara umum, atawa titik warna, anu bisa ditempo liwat monitor, kertas, atawa media sejenna."
Raster images di simpan di data image dengan format yang beragam.,Gambar Raster disimpen dina data gambar kalawan format anu rupa-rupa.
"Akan tetap, untuk teknologi printing yang melakukan proses mixing warna melalui dithering (halftone) daripada melakukan overprinting (secara virtual, semua inkjet dan laser printer di rumah dan kantor), printer DPI dan gambar PPI memiliki arti yang berbeda, dan ini dapat menyebabkan kesalahpahaman.","tapi, keur téhnologi percetakan nu ngalakukeun proses mixing warna nganggo dithering (halftone) daripada ngajalankeun overprinting (sacara virtual, sadaya inkjet na jeung laser printer di imah jeung kantor), printer DPI jeung gambar PPI ngabogaan harti béda, sarta ieu bisa ngakibatkeun salah harti."
"Karena, melalui proses dithering, printer membangun sebuah gambar pixel dari beberapa dots printer untuk meningkatkan kedalaman warna, setting printer DPI harus di set lebih tinggi daripada PPI yang diinginkan untuk memastikan kedalaman warna yang diinginkan dapat tercapat tanpa mengorbankan resolusi gambar.","Kusabab, ngaliwatan prosés dithering, printer nu ngawangun hiji piksel gambar ti sababaraha titik-titik dina printer nambahan jero warna, setélan panyitak DPI kudu diatur leuwih luhur ti PPI nu dihoyongkeun kanggo mastikeun kajeroan warna nu dihoyongkeun bisa kacapai tanpa ngorbankeun resolusi gambar. nyaeta."
"Sehingga, print gambar pada 250 PPI bisa saja membutuhkan setting printer dengan 1200 DPI.","Ku kituna, print gambar dina 250 PPI bisa jadi butuh printer setélan 1200 DPI."
Editor gambar raster,Redaktur Gambar Raster
"Editor gambar raster, seperti Painter, Photoshop, Paint.NET, MS Paint, dan GIMP, berfungsi dengan cara mengedit piksel, tidak seperti editor gambar vektor, seperti Xfig, CorelDRAW, Adobe Illustrator, atau Inkscape, yang bekerja dengan cara mengedit garis dan bentuk (vektor).","Redaktur gambar raster, kayaning Painter, Photoshop, Paint, NET, MS Paint Jeung GIMP, fungsi ku ngédit piksel, teu kawas pangropéa gambar vektor, kayaning xfig, CorelDRAW, Adobe Illustrator atanapi Inkscape, anu gawéna dumasar ngédit garis sarta wangun (vektor)."
"Ketika sebuah gambar di-render di dalam editor gambar raster, gambar tersebut terdiri dari berjuta-juta piksel.","Nalika hiji gambar di render dina gambar raster, gambar eta nu diwangun ku jutaan piksel."
"Secara keseluruhan, editor gambar raster bekerja dengan memanipulasi setiap piksel secara individual.","Gemblengna, redaktur gambar raster gawéna dumasar manipulasi tiap piksel sacara individual."
"Kebanyakan editor gambar berbasis piksel berfungsi dengan model warna RGB, tapi beberapa memungkinkan penggunaan model-model warna lain seperti model warna CMYK.","Kalolobaan redaktur gambar basis piksel pikeun digawe sareng model warna RGB, tapi sababaraha model ngawenangkeun dipakéna warna séjén kayaning modél warna CMYK."
"Sebuah bitmap, yang berarti sebuah raster bit tunggal, berhubungan bit-per-bit dengan gambar yang terlihat di layar, biasanya dalam bentuk format data untuk penyimpanan dalam memori video layar, atau bisa sebagai bitmap yang independen dari peranti.","hiji bitmap, nu hartina hiji raster bit nu ngan aya hiji, pakait bit-per-bit jeung gambar anu katempo dina layar, biasana dina bentuk hiji format data pikeun neundeun di layar memori video, atawa eta tiasa salaku bitmap nu geus bebas tina panganteur."
"Raster diciri-cirikan dengan tinggi dan lebar sebuah gambar di dalam piksel dan dengan angka untuk bit per piksel (atau kedalaman warna, yang menentukan berapa warna yang dapat diwakili).","Raster dicirikeun ku jangkungna sarta lebar hiji gambar dina piksel sarta jumlah bit per piksel (atawa jero warna, anu nangtukeun sabaraha warna anu tiasa digambarkeun)."
"Industri percetakan dan prepress mengenal gambar raster sebagai contones (dari “continuous tones”). Berlawanan dari contones adalah “line work”, yang biasanya mengimplementasi grafik vektor dalam sistem digital.","Industri percetakan jeung prepress terang gambar raster minangka contones (""continuous tones""). lalawanan ti Contones nyaéta ""line work"", nu biasana nerapkeun grafik vektor dina sistim digital."
"Kata “raster” berasal dari kata Latin, “rostrum”, yang berasal dari kata “radere”.","Kecap ""raster"" asalna tina kecap Latin ""rostrum"", nu diturunkeun tina kecap ""radere""."
"Bermula dari pindaian raster monitor video tabung sinar katode (CRT), yang mewarnai garis gambar secara garis ke garis dengan pengendalian magnetik yang berasal dari pancaran elektron. Secara asosiasi, kata ""raster"" juga dapat dipahami sebagai grid kotak pixel.","Dimimitian tina scan raster monitor video tabung sinar katode (CRT), nu ngawarnaan garis gambar tina garis ka baris nganggo pengendalian magnétik nu asalna tina pancaran éléktron. Ku asosiasi, kecap ""raster"" ogé bisa dipikaharti minangka kisi kotak pixel."
Kata “rastrum” sekarang digunakan untuk merefer dari peranti gambar ke staff musical.,"Kecap ""rastrum"" ayeuna dipaké pikeun nujul ka panganteur gambar ka staff musical."
Display Komputer,Témbong komputer
"Gunung Merapi (ketinggian puncak 2.930 mdpl, per 2010) (Hanacaraka: ꦒꦸꦤꦸꦁ​ꦩꦼꦫꦥꦶ ) adalah gunung berapi di bagian tengah Pulau Jawa dan merupakan salah satu gunung api teraktif di Indonesia.","Gunung Merapi (puncak luhurna 2.930 m dpl , pér 2010) ( hanacaraka : ꦒꦸꦤꦸꦁ ꦩꦼꦫꦥꦶ ) Dupi hiji gunungapi di bagian sentral di Pulo Jawa sarta mangrupa salah sahiji gunung berapi nu aktip di Indonesia ."
"Lereng sisi selatan berada dalam administrasi Kabupaten Sleman, Daerah Istimewa Yogyakarta, dan sisanya berada dalam wilayah Provinsi Jawa Tengah, yaitu Kabupaten Magelang di sisi barat, Kabupaten Boyolali di sisi utara dan timur, serta Kabupaten Klaten di sisi tenggara.","Lamping sisi kidul nyaeta dina administrasi kacamatan Banjarnegara , Region Husus Yogyakarta , sarta sésana anu di propinsi Jawa Tengah , nyaéta Kab Magelang dina sisi kulon, Boyolali di kalér jeung wétan, sarta Kabupatén Klatén di tenggara."
Kawasan hutan di sekitar puncaknya menjadi kawasan Taman Nasional Gunung Merapi sejak tahun 2004.,Wewengkon leuweung sabudeureun Puncak kana wewengkon Gunung Merapi Taman Nasional saprak 2004.
"Letusan-letusan kecil terjadi tiap 2-3 tahun, dan yang lebih besar sekitar 10-15 tahun sekali.","Letusan leutik lumangsung unggal 2-3 taun, sarta leuwih badag ngeunaan 10-15 taun."
"Letusan-letusan Merapi yang dampaknya besar tercatat pada tahun 1006 (dugaan), 1786, 1822, 1872, dan 1930.","Bituna Merapi anu dampak kacatet dina 1006 (dugaan), 1786 , 1822 , 1872 , jeung 1930 ."
"Letusan pada tahun 1006 membuat seluruh bagian tengah Pulau Jawa diselubungi abu, berdasarkan pengamatan timbunan debu vulkanik. Ahli geologi Belanda, van Bemmelen, berteori bahwa letusan tersebutlah yang menyebabkan pusat Kerajaan Medang (Mataram Kuno) harus berpindah ke Jawa Timur.","Letusan dina 1006 dijadikeun bagian sentral sakabéhna hasil pulo Jawa shrouded di abu, dumasar kana observasi tina vulkanik lebu numpuk. Géologi Walanda, van Bemmelen, téori yén letusan anu ngabalukarkeun puseur Medang Ageung (Mataram Kuno) kedah ngalih ka Jawa Timur ."
Letusan pada tahun 1872 dianggap sebagai letusan terkuat dalam catatan era modern geologi dengan skala VEI mencapai 3 sampai 4.,Letusan dina 1872 dianggap salaku letusan neneng dina catetan géologis modern sareng skala VEI ngahontal 3 mun 4.
"Letusan besar terbaru, 2010, diperkirakan juga memiliki kekuatan yang mendekati atau sama.","Letusan panganyarna tina 2010, diperkirakeun ogé boga kakuatan deukeut atawa sarua."
"Letusan tahun 1930, yang menghancurkan tiga belas desa dan menewaskan 1400 orang, merupakan letusan dengan catatan korban terbesar hingga sekarang.[butuh rujukan]","Letusan dina 1930 , nu ancur tilu belas kalurahan jeung ditelasan 1400 jalma, nyaeta korban pangbadagna ti letusan kalawan catetan nu nepi ka kiwari."
Letusan bulan November 1994 menyebabkan luncuran awan panas ke bawah hingga menjangkau beberapa desa dan memakan korban 60 jiwa manusia.,"Dina taun 2006, Gunung Merapi aktivitasna tinggi nepi ka aya dua sukarélawan nu maot di Kaliadem lantaran wewengkon alatan paparan awan panas. Runtuyan bituna di Oktober jeung Nopémber 2010 anu dievaluasi salaku panggedena ti letusan dina 1872 sarta ngaku nyawa 273 jalma (per 17 Nopémber 2010) , sanajan geus ditumpukeun observasi intensif tur persiapan manajemén évakuasi. Letusan 2010 ieu ogé ditempo salaku baku tina letusan anu ""tipe Merapi"" kanggo ngabeledug dipirig ku sora ngabeledugna na rumbling sora ka jarak 20-30 km."
"Karena potensi bahayanya, gunung ini dimonitor tanpa jeda oleh Pusat Pengamatan Gunung Merapi di Kota Yogyakarta menggunakan berbagai instrumen geofisika telemetri yang sensornya ditempatkan di sekitar puncak gunung, dibantu enam (hingga 2019) pos pengamatan visual dan pencatat kegempaan (Pengamatan Gunung Merapi, PGM):","Tanggal 8 Juni , Gunung Merapi bitu di 9:03 WIB bitu tina awan panas anu nyieun rébuan padumuk di lamping Gunung Merapi panik sarta diusahakeun kabur ka kaamanan. Dinten dirékam dua letusan Merapi, letusan kadua lumangsung di sabudeureun 9:40 WIB. Bursts awan panas sajauh 5 km leuwih diarahkeun kana hulu Gendol (lamping kidul) jeung ancur paling leuweung di kalér Kaliadem di wewengkon Banjarnegara ."
"Ngepos (sisi barat daya; Kec. Srumbung, Magelang) Babadan (sisi barat laut; Desa Krinjing, Dukun, Magelang) Jrakah (sisi utara–barat laut; Desa Jrakah, Selo, Boyolali) Selo (sisi utara; Desa Selo, Kecamatan Selo, Boyolali) Kaliurang (sisi selatan; Desa Hargobinangun, Pakem, Sleman) Plawangan (sisi selatan).",Letusan 2010
Gunung ini sangat berbahaya karena menurut catatan modern mengalami erupsi setiap dua sampai lima tahun sekali dan dikelilingi oleh permukiman yang sangat padat.,"Gunung Merapi téh bahaya pisan, nurutkeun rékaman modéren ngalaman letusan unggal dua nepi ka lima taun na ieu dikurilingan ku padumukan pisan padet."
"Sejak tahun 1548, gunung ini sudah meletus sebanyak 68 kali.[butuh rujukan] Kota Magelang dan Kota Yogyakarta adalah kota besar terdekat, berjarak kurang dari 30 km dari puncaknya.","Kusabab 1548 , gunung kungsi bitu 68 kali. Kota Magelang sarta Yogyakarta téh kota ageung pangcaketna, kirang ti 30 km ti gempungan téh."
Di lerengnya masih terdapat permukiman sampai ketinggian 1700 m dan hanya berjarak empat kilometer dari puncak.,Di lamping aya kénéh hiji pakampungan ka luhurna 1700 m sarta ngan opat kilométer ti gempungan téh.
"Oleh karena tingkat kepentingannya ini, Merapi menjadi salah satu dari enam belas gunung api dunia yang termasuk dalam proyek Gunung Api Dekade Ini (Decade Volcanoes).","Kusabab pentingna ieu, Merapi jadi salah sahiji genep belas gunung seuneuan dunya téh kaasup dina proyék Gunung seuneuan Dékadeu ( Dékadeu Gunung seuneuan )."
"Tanggal 8 Juni, Gunung Merapi pada pukul 09.03 WIB meletus dengan semburan awan panas yang membuat ribuan warga di wilayah lereng Gunung Merapi panik dan berusaha melarikan diri ke tempat aman.","Tanggal 8 Juni , Gunung Merapi bitu di 9:03 WIB bitu tina awan panas anu nyieun rébuan padumuk di lamping Gunung Merapi panik sarta diusahakeun kabur ka kaamanan."
"Hari ini tercatat dua letusan Merapi, letusan kedua terjadi sekitar pukul 09.40 WIB.","Dinten dirékam dua letusan Merapi, letusan kadua lumangsung di sabudeureun 9:40 WIB."
Semburan awan panas sejauh 5 km lebih mengarah ke hulu Kali Gendol (lereng selatan) dan menghanguskan sebagian kawasan hutan di utara Kaliadem di wilayah Kabupaten Sleman.,Bursts awan panas sajauh 5 km leuwih diarahkeun kana hulu Gendol (lamping kidul) jeung ancur paling leuweung di kalér Kaliadem di wewengkon Banjarnegara .
Erupsi 2010,Letusan 2010
Bahaya sekunder berupa aliran lahar dingin juga mengancam kawasan lebih rendah setelah pada tanggal 4 November terjadi hujan deras di sekitar puncak Merapi.,Bahaya sekundér dina bentuk aliran lava tiis kaancam wewengkon handap on 4 Nopémber sanggeus hujan lumangsung di sabudeureun Puncak Merapi.
"Pada tanggal 5 November Kali Code di kawasan Kota Yogyakarta dinyatakan berstatus ""awas"" (red alert).[butuh rujukan]","5 Nopémber Walungan Kode di wewengkon Kota Yogyakarta dinyatakeun status salaku ""awas"" (beureum ngageter)."
"Letusan kuat 5 November diikuti oleh aktivitas tinggi selama sekitar seminggu, sebelum kemudian terjadi sedikit penurunan aktivitas, namun status keamanan tetap ""Awas"".","Letusan kuat 5 Nopémber diteruskeun ku aktivitas tinggi salila kira saminggu, saméméh panurunan slight dina aktivitas, tapi status kaamanan tetep ""Awas""."
Pada tanggal 15 November 2010 batas radius bahaya untuk Kabupaten Magelang dikurangi menjadi 15 km dan untuk dua kabupaten Jawa Tengah lainnya menjadi 10 km.,15 Nopémber 2010 watesan radius bahaya mun Magelang diréduksi jadi 15 km sarta pikeun dua distrik séjén di Jawa Tengah nepi ka 10 km.
Hanya bagi Kab.,Ngan pikeun Kec.
Sleman yang masih tetap diberlakukan radius bahaya 20 km.,Banjarnegara nu masih tetep dina radius efek bahaya 20 km.
Erupsi 2018,Letusan 2018
"Aktivitas vulkanik kembali ditunjukan gunung ini pada Jumat, 11 Mei 2018, pukul 07.30 WIB.","Kagiatan vulkanik tina tonggong gunung urang geus ditémbongkeun dina Jumaah,11 Méi, 2018, di 07.30 WIB."
"Meski berstatus normal, Gunung Merapi mengeluarkan suara gemuruh disertai asap membumbung tinggi.","Sanajan status téh normal, sora rumbling Gunung Merapi dikaluarkeun kalawan haseup jangkung ."
Letusan yang memunculkan asap setinggi hingga 5.500 meter ke udara tersebut diketahui merupakan letusan freatik.,Letusan anu ngarah ka haseup saluhur 5.500 méter kana hawa nepika dipikanyaho nyaéta letusan phreatic .
"Saat terjadi letusan, sebagian pendaki masih berada di areal Pasar Bubrah.","Nalika letusan anu, sababaraha pendaki masih di wewengkon Pasar Bubrah."
Tak ada laporan pendaki yang meninggal dunia maupun luka-luka. Kawasan Pasar Bubrah adalah tempat para pendaki Merapi biasa menginap dan memasang tenda. Hujan abu tipis jatuh di wilayah lereng barat.,Aya no laporan pendaki anu maot atanapi anu luka. aréa Bubrah Pasar nyaéta dimana pendaki Merapi luar biasa tetep teras nahan nepi anjir. ashes ipis murag kana lamping kulon wewengkon.
"Aktifitas Merapi terus meningkat hingga pada tanggal 21 Mei 2018, pukul 23.00 WIB status Merapi dinaikkan dari normal aktif menjadi waspada.","aktivitas Merapi terus ningkat dugi 21 Mei, 2018, 23:00 WIB status normal Merapi ieu diangkat ti aktif pikeun ngabejaan ."
"Pada Kamis, 24 Mei 2018 Merapi kembali erupsi dengan memuntahkan asap setinggi 6.000 meter.","Dina Kemis, 24 Méi, 2018 letusan ti Merapi spewing haseup saluhur 6.000 méter."
Hujan abu mengguyur wilayah barat gunung yaitu Kabupaten Magelang bahkan sampi ke Kabupaten Kebumen yang berjarak lebih dari 40 kilometer.,Ash hujan aréa kuloneun gunung anu geus flushed Magelang malah sampi mun Kebumen dina leuwih ti 40 kilométer .
"Gunung Merapi kembali meletus Jumat, 1 Juni 2018 pada pukul 08.20 WIB dengan durasi 2 menit.","Gunung Merapi bitu deui Jumaah, 1 Juni, 2018 di 8:20 WIB ku lilana 2 menit."
"Menurut BPPTKG, kolom letusan gunung Merapi sekitar 6.000 meter dari puncak, atau sekitar 8.968 meter di atas permukaan laut arah barat laut dan teramati dari Pos Pengamatan Jrakah. Letusan tersebut menyebabkan hujan abu di Pos Pengamatan Gunung Merapi Jrakah dan Selo.","Nurutkeun BPPTKG, Gunung Merapi bitu kolom ngeunaan 6.000 méter ti gempungan, atanapi ngeunaan 8968 méter di luhur permukaan laut kaler sarta observasi tina Pos Pengamatan Jrakah. letusan anu disababkeun ashfall di Pos Pengamatan Gunung Merapi Jrakah na Selo."
"Bahkan laporan hujan abu hingga ke Salatiga dan Kabupaten Semarang. Masyarakat diimbau tetap tenang dan waspada atas hujan abu dan selalu mengenakan alat pelindung diri (APD), seperti kacamata, jaket, dan masker saat berada di luar rumah.","Malah laporan lebu nepi ka Salatiga na Semarang District . publik nu didorong pikeun tetep tenang sarta waspada kana lebu sarta salawasna maké alat-alat pelindung pribadi (PPE), kayaning gelas, jaket, jeung mask mun di luar imah."
Vegetasi,Végétasi
"Gunung Merapi di bagian puncak tidak pernah ditumbuhi vegetasi karena aktivitas yang tinggi. Jenis tumbuhan di bagian teratas bertipe alpina khas pegunungan Jawa, seperti Rhododendron dan edelweis jawa.","Gunung Merapi dina gempungan pernah végétasi diwuwuhan kusabab aktivitas tinggi na. spésiés tutuwuhan di luhureun hiji alpine-tipe gunung has Java, kayaning rhododendrons na edelweiss Java ."
Agak ke bawah terdapat hutan bambu dan tetumbuhan pegunungan tropika. Hutan hujan tropis pegunungan di lereng selatan Merapi merupakan tempat salah satu forma anggrek endemik Vanda tricolor 'Merapi' yang langka.,Bit ka handap aya leuweung awi jeung vegetasi gunung tropis. rainforest tropis di lamping kidul Merapi nyaeta salah sahiji tempat forma Orchid endemik Vanda tricolor 'Merapi' jarang .
Rute pendakian,Jalur Nanjak
Gunung Merapi merupakan objek pendakian yang populer. karena gunung ini merupakan gunung yang sangat mempesona.,Gunung Merapi nyaéta objek daki nu populér. sabab gunung mangrupa gunung anu pohara menawan.
"Jalur pendakian yang paling umum dan dekat adalah melalui sisi utara dari Sèlo, Kabupaten Boyolali, Jawa Tengah, tepatnya di Desa Plalangan, Selo, Boyolali, Desa ini terletak di antara Gunung Merapi dan Gunung Merbabu.","Jalur daki paling umum nyaeta sisi Kalér ti Selo , Boyolali , Jawa Tengah , persis di Désa Plalangan, Selo, Boyolali , Desa ieu ayana diantara Gunung Tampomas jeung Gunung Merbabu ."
Pendakian melalui Selo memakan waktu sekitar 4-5 jam hingga ke puncak.,Pisan ngaliwatan Selo nyokot ngeunaan 4-5 jam nepi ka puncak teh.
"Jalur populer lain adalah melalui Kaliurang, Kecamatan Pakem, Kabupaten Sleman, Yogyakarta di sisi selatan. Jalur ini lebih terjal dan memakan waktu sekitar 6-7 jam hingga ke puncak. Jalur alternatif yang lain adalah melalui sisi barat laut, dimulai dari Sawangan, Kabupaten Magelang, Jawa Tengah dan melalui sisi tenggara, dari arah Deles, Kecamatan Kemalang, Kabupaten Klaten, Jawa Tengah.","Jalur sejen populér nyaeta liwat Kaliurang , Kacamatan Pakem , Banjarnegara , Yogyakarta di sisi kidul. jalur ieu lungkawing jeung nyokot ngeunaan 6-7 jam nepi ka puncak teh. jalur alternatif sejen nyaeta ngaliwatan sisi kaler, mimitian ti Sawangan , Magelang , Jawa Tengah sarta ngaliwatan sisi tenggara, ti arah Deles, Kacamatan Kemalang , Kabupatén Klatén , Jawa Tengah ."
"Gunung ini adalah gunung termuda dalam rangkaian gunung berapi yang mengarah ke selatan dari Gunung Ungaran, Gunung Merbabu, dan Gunung Merapi.","Gunung ieu téh nu bungsu di runtuyan gunung seuneuan anu ngabalukarkeun kiduleun Gunung Ungaran , Gunung Merbabu sarta Gunung Merapi."
Gunung ini terbentuk karena aktivitas di zona subduksi Lempeng Indo-Australia yang bergerak ke bawah Lempeng Eurasia menyebabkan munculnya aktivitas vulkanik di sepanjang bagian tengah Pulau Jawa.,Gunung ieu kabentuk ku aktivitas dina zona zona subduksi plat Indo-Australia pindah handapeun piring Eurasia ngarah ka mecenghulna aktivitas vulkanik sapanjang bagian sentral di Pulo Jawa.
